OrderID,OrderDate,CustomerID,ProductID,Quantity,Price
1,2023-02-07,9592,733,1,461.01
2,2023-03-12,3246,7697,7,682.68
3,2023-05-11,3372,6321,3,310.29
4,2022-12-30,5428,5187,8,190.22
5,2023-05-20,3506,5995,1,261.0
6,2022-12-06,8524,7823,10,467.54
7,2022-07-31,2334,3330,8,717.38
8,2023-04-20,7014,8750,10,169.4
9,2023-03-21,8374,9647,2,200.41
10,2023-03-11,5929,5720,7,489.38
11,2023-05-15,9898,4153,4,191.77
12,2022-10-16,9279,1769,8,298.68
13,2022-12-30,4967,3975,5,962.16
14,2023-03-05,9974,1212,3,96.25
15,2022-08-31,7063,1150,5,983.53
16,2023-06-11,8856,4318,9,601.38
17,2022-10-09,9125,5141,2,575.3
18,2023-06-01,1970,6856,1,180.31
19,2022-12-02,2540,1425,2,737.62
20,2023-06-22,5671,6442,1,133.58
21,2022-09-06,7643,5541,2,153.17
22,2022-12-25,9075,2045,6,128.36
23,2023-07-11,103,553,8,601.45
24,2022-10-24,4480,9913,5,84.87
25,2022-09-22,7665,9703,8,272.23
26,2023-03-22,3154,6867,10,864.08
27,2022-12-09,3965,5676,7,969.44
28,2022-09-19,2497,8723,4,833.04
29,2022-09-03,7549,320,5,194.95
30,2022-08-21,3272,633,10,385.07
31,2023-05-18,5004,9949,1,943.65
32,2022-08-15,8425,7048,1,197.29
33,2023-07-01,4478,6001,6,96.38
34,2023-01-08,4856,7867,1,159.42
35,2022-08-12,9060,1183,1,338.26
36,2022-09-06,3556,112,8,629.53
37,2023-02-17,5141,6569,3,263.31
38,2023-07-21,1497,3719,3,540.13
39,2022-12-10,6309,5489,6,333.93
40,2022-12-08,7494,7553,4,646.84
41,2023-07-16,9336,3971,9,212.57
42,2022-09-13,9725,4743,4,763.67
43,2022-10-15,6635,3346,5,441.4
44,2023-02-13,794,5107,6,845.2
45,2022-12-07,3727,5675,9,308.81
46,2022-10-13,3531,2618,9,99.67
47,2022-11-05,592,3195,5,529.27
48,2022-12-29,2906,8201,1,359.05
49,2022-12-06,1318,3819,9,961.67
