ProductID,Name,Category,Price
1,Admit,Footwear,157.68
2,No,Clothing,798.69
3,Everybody,Clothing,777.87
4,Office,Footwear,432.92
5,Method,Clothing,994.66
6,Shoulder,Clothing,253.82
7,Quickly,Accessories,508.13
8,Become,Footwear,540.69
9,Expect,Accessories,929.8
10,Discussion,Clothing,544.23
11,Only,Footwear,80.35
12,Certainly,Footwear,694.14
13,Among,Accessories,230.52
14,Hand,Footwear,819.35
15,Itself,Accessories,754.05
16,Do,Accessories,20.13
17,Group,Accessories,945.25
18,Occur,Accessories,824.82
19,Be,Clothing,796.07
20,Thought,Footwear,201.76
21,Should,Accessories,861.26
22,Trip,Footwear,206.34
23,Color,Clothing,180.12
24,Explain,Accessories,589.61
25,Keep,Clothing,574.08
26,Science,Footwear,754.98
27,Picture,Accessories,94.75
28,Production,Accessories,395.09
29,Training,Accessories,549.1
30,Throw,Footwear,467.95
31,Think,Clothing,577.42
32,Another,Clothing,943.83
33,Animal,Clothing,872.02
34,Step,Clothing,522.86
35,Cut,Clothing,815.01
36,Better,Accessories,354.67
37,Mr,Footwear,276.25
38,That,Clothing,460.52
39,Art,Accessories,562.34
40,Eat,Accessories,496.11
41,Support,Clothing,83.93
42,Protect,Accessories,192.49
43,Give,Accessories,161.7
44,Camera,Accessories,436.17
45,Organization,Clothing,730.2
46,Ok,Footwear,375.05
47,Drive,Footwear,778.37
48,Money,Footwear,48.56
49,Research,Footwear,32.44
50,Whose,Clothing,648.4
51,Consider,Clothing,625.6
52,Adult,Footwear,848.2
53,Sport,Accessories,298.34
54,Over,Footwear,207.84
55,Ground,Footwear,814.07
56,Professor,Clothing,128.56
57,Head,Clothing,414.07
58,Natural,Footwear,260.09
59,Include,Clothing,806.14
60,Training,Accessories,419.36
61,Simply,Clothing,450.27
62,Message,Clothing,300.29
63,Here,Accessories,789.72
64,Project,Footwear,190.67
65,Sort,Footwear,85.0
66,Free,Accessories,807.86
67,Moment,Accessories,980.15
68,Economic,Clothing,394.07
69,Address,Clothing,606.9
70,Break,Footwear,37.16
71,Where,Clothing,262.61
72,Your,Footwear,184.1
73,Worry,Footwear,442.32
74,Nothing,Footwear,898.35
75,Speak,Accessories,125.17
76,Democrat,Clothing,91.43
77,Best,Clothing,598.94
78,Year,Accessories,834.62
79,Bit,Clothing,486.15
80,Check,Accessories,601.66
81,During,Accessories,897.61
82,Experience,Footwear,124.17
83,Structure,Accessories,640.22
84,Like,Accessories,461.57
85,Evidence,Clothing,846.91
86,Consumer,Footwear,159.17
87,Sing,Footwear,432.2
88,Form,Clothing,860.04
89,Could,Accessories,831.5
90,Animal,Accessories,12.67
91,Beautiful,Accessories,438.78
92,Position,Clothing,96.37
93,Relationship,Footwear,528.22
94,Sure,Accessories,715.91
95,Drug,Clothing,782.7
96,Any,Footwear,658.62
97,Also,Clothing,429.7
98,Consumer,Clothing,102.55
99,Foreign,Accessories,372.01
100,Rich,Footwear,390.2
101,Manager,Accessories,875.18
102,Full,Accessories,563.74
103,Carry,Accessories,285.98
104,Never,Accessories,631.64
105,Write,Footwear,961.76
106,Never,Clothing,277.65
107,Couple,Footwear,740.88
108,Matter,Accessories,26.78
109,Relationship,Footwear,143.59
110,Finish,Footwear,723.12
111,Food,Clothing,542.01
112,Put,Clothing,932.88
113,Admit,Footwear,556.39
114,Camera,Footwear,100.71
115,Property,Accessories,239.41
116,Start,Clothing,582.23
117,But,Footwear,524.9
118,Imagine,Accessories,986.72
119,Who,Clothing,85.53
120,Beat,Accessories,640.7
121,Notice,Accessories,653.33
122,Line,Footwear,56.36
123,Away,Clothing,360.67
124,Behind,Accessories,240.69
125,Under,Accessories,874.37
126,Everything,Footwear,465.94
127,Book,Accessories,556.68
128,If,Accessories,274.84
129,Direction,Footwear,729.95
130,Number,Clothing,769.75
131,Person,Clothing,12.2
132,Enter,Footwear,40.54
133,Since,Footwear,604.07
134,Account,Footwear,758.29
135,Indicate,Accessories,75.72
136,Young,Footwear,615.68
137,Structure,Footwear,424.33
138,Be,Clothing,829.17
139,Hope,Clothing,593.62
140,Lead,Footwear,250.73
141,Miss,Clothing,902.74
142,At,Clothing,293.11
143,Painting,Clothing,689.47
144,Trouble,Clothing,145.14
145,Gas,Accessories,122.12
146,Admit,Clothing,373.96
147,Magazine,Accessories,522.77
148,Window,Footwear,432.66
149,Ago,Accessories,642.19
150,Stop,Clothing,185.85
151,Style,Accessories,975.88
152,Reality,Footwear,138.15
153,Plan,Clothing,779.21
154,Service,Accessories,49.78
155,Task,Clothing,340.08
156,Something,Accessories,338.74
157,Beyond,Accessories,499.44
158,For,Footwear,645.86
159,Wall,Clothing,887.22
160,Side,Accessories,773.2
161,Modern,Footwear,445.57
162,Oil,Footwear,542.58
163,Keep,Clothing,408.45
164,Street,Clothing,478.31
165,Scientist,Clothing,129.14
166,Final,Footwear,178.69
167,Next,Accessories,147.4
168,Style,Clothing,470.35
169,Positive,Clothing,308.18
170,Analysis,Footwear,598.86
171,Military,Clothing,679.52
172,Possible,Accessories,146.01
173,Heavy,Accessories,488.53
174,Also,Clothing,961.92
175,Time,Accessories,171.3
176,Question,Clothing,590.34
177,Book,Footwear,516.59
178,Manager,Accessories,962.29
179,Knowledge,Accessories,980.73
180,Him,Footwear,221.12
181,While,Clothing,640.57
182,Follow,Accessories,468.43
183,Single,Clothing,242.29
184,Born,Accessories,865.06
185,Consumer,Footwear,14.35
186,Sport,Footwear,647.91
187,People,Footwear,165.08
188,Southern,Accessories,114.43
189,Best,Clothing,719.36
190,Stand,Accessories,695.98
191,Account,Clothing,892.18
192,Test,Clothing,901.72
193,Shoulder,Accessories,971.34
194,Go,Clothing,438.45
195,Two,Accessories,763.17
196,Decade,Footwear,156.28
197,Be,Accessories,53.93
198,Soldier,Accessories,358.35
199,Two,Accessories,967.64
200,Loss,Footwear,593.48
201,Rather,Accessories,734.22
202,Better,Accessories,455.79
203,Yes,Accessories,290.42
204,Sea,Clothing,895.37
205,Job,Accessories,225.22
206,Girl,Footwear,368.53
207,Also,Footwear,198.47
208,Head,Clothing,101.18
209,Student,Clothing,439.81
210,Play,Accessories,145.89
211,Item,Clothing,433.15
212,Billion,Clothing,631.94
213,Traditional,Clothing,459.59
214,Night,Clothing,337.38
215,Force,Clothing,318.27
216,Tough,Clothing,139.02
217,War,Accessories,247.61
218,Popular,Clothing,547.68
219,Health,Footwear,604.6
220,Himself,Accessories,400.32
221,Hair,Footwear,863.68
222,Sell,Clothing,161.6
223,Relationship,Accessories,545.46
224,Move,Accessories,245.78
225,Bit,Footwear,625.52
226,Life,Clothing,828.78
227,Record,Clothing,682.99
228,Direction,Footwear,669.77
229,Account,Footwear,230.03
230,Edge,Footwear,922.58
231,The,Footwear,99.07
232,Moment,Clothing,677.43
233,More,Footwear,716.84
234,About,Clothing,112.22
235,Open,Footwear,964.21
236,Grow,Footwear,479.21
237,Effort,Clothing,131.34
238,Author,Accessories,928.32
239,Owner,Clothing,236.79
240,Fine,Accessories,638.88
241,Amount,Clothing,680.62
242,Step,Clothing,519.43
243,Product,Accessories,825.15
244,Reach,Accessories,815.16
245,Nor,Clothing,870.02
246,Most,Accessories,828.09
247,Appear,Footwear,680.75
248,Subject,Footwear,964.56
249,Whose,Accessories,631.08
250,Sometimes,Footwear,249.48
251,Pick,Clothing,742.06
252,Site,Accessories,84.78
253,Bed,Clothing,401.55
254,Risk,Clothing,756.88
255,Down,Clothing,500.27
256,Individual,Accessories,155.0
257,For,Footwear,818.53
258,Green,Footwear,922.12
259,Staff,Footwear,986.51
260,Your,Clothing,322.1
261,Particular,Accessories,824.72
262,Like,Footwear,204.89
263,Church,Footwear,408.11
264,Sound,Clothing,813.87
265,Old,Footwear,901.77
266,Age,Accessories,966.15
267,Mouth,Footwear,163.82
268,Process,Footwear,155.43
269,However,Accessories,395.64
270,East,Accessories,703.63
271,Rest,Clothing,836.21
272,Thing,Footwear,747.08
273,Response,Clothing,745.35
274,Price,Clothing,147.2
275,Present,Clothing,658.39
276,Lose,Accessories,169.27
277,Four,Footwear,251.44
278,Operation,Footwear,240.85
279,Least,Footwear,858.74
280,Involve,Clothing,24.39
281,Seek,Clothing,782.84
282,Citizen,Clothing,475.36
283,Join,Accessories,391.39
284,Both,Footwear,621.01
285,Listen,Accessories,60.07
286,Local,Footwear,934.74
287,Garden,Footwear,414.92
288,Food,Footwear,602.28
289,Issue,Accessories,249.01
290,Day,Clothing,59.67
291,Program,Clothing,867.28
292,Get,Footwear,603.49
293,Run,Clothing,758.94
294,For,Clothing,833.73
295,More,Footwear,119.11
296,Support,Clothing,504.79
297,Respond,Footwear,869.71
298,Behavior,Footwear,587.91
299,Not,Clothing,292.23
300,Trial,Clothing,153.61
301,Society,Footwear,602.92
302,Several,Footwear,751.33
303,Ever,Footwear,371.07
304,Recent,Footwear,404.34
305,Position,Accessories,428.85
306,Account,Clothing,618.7
307,Treatment,Footwear,312.83
308,Writer,Accessories,435.28
309,Eye,Accessories,289.85
310,Nearly,Accessories,905.43
311,Rather,Footwear,900.7
312,Anything,Footwear,248.93
313,How,Clothing,869.0
314,Language,Footwear,696.84
315,Base,Clothing,408.47
316,Laugh,Accessories,100.99
317,Size,Clothing,112.77
318,Common,Clothing,959.07
319,Want,Footwear,300.99
320,Pretty,Clothing,251.86
321,Analysis,Footwear,43.42
322,Instead,Accessories,525.26
323,Benefit,Clothing,137.66
324,Eight,Footwear,257.36
325,Support,Footwear,793.0
326,Sign,Clothing,591.89
327,Exactly,Accessories,423.98
328,Music,Clothing,823.32
329,Fear,Clothing,349.9
330,Ball,Accessories,803.68
331,Cell,Footwear,946.62
332,Anything,Footwear,851.59
333,Performance,Footwear,124.09
